base_delay,base_loss,control_interval,result
4,0,12,97.62
4,0,12,97.17
4,0,12,97.02
4,0,12,97.22
4,0,12,96.88
4,0,12,97.29
4,0,12,96.74
4,0,12,97.55
4,0,13,97.47
4,0,13,96.99
4,0,13,96.89
4,0,13,97.01
4,0,13,96.99
4,0,13,97.31
4,0,13,96.86
4,0,13,96.92
4,0,13,96.55
4,0,13,97.05
4,0,14,96.94
4,0,14,96.98
4,0,14,96.93
4,0,14,96.93
4,0,14,97.29
4,0,14,97.03
4,0,14,97.05
4,0,14,96.86
4,0,14,97.53
4,0,14,97.08
4,0,15,97.22
4,0,15,95.86
4,0,15,96.94
4,0,15,97.07
4,0,15,97.53
4,0,15,96.87
4,0,15,96.88
4,0,15,97.02
4,0,15,97.13
4,0,15,96.62
4,0,16,96.06
4,0,16,96.78
4,0,16,97.69
4,0,16,96.66
4,0,16,96.93
4,0,16,96.44
4,0,16,96.55
4,0,16,96.8
4,0,16,96.64
4,0,16,96.82
4,0,17,96.84
4,0,17,96.46
4,0,17,97.22
4,0,17,97.32
4,0,17,96.52
4,0,17,97.2
4,0,17,97.15
4,0,17,96.79
4,0,17,96.84
4,0,17,96.59
4,0,18,96.32
4,0,18,96.72
4,0,18,97.0
4,0,18,96.67
4,0,18,96.88
4,0,18,96.87
4,0,18,96.68
4,0,18,96.09
4,0,18,96.51
4,0,18,96.83
4,0,19,96.6
4,0,19,96.59
4,0,19,96.26
4,0,19,96.47
4,0,19,96.88
4,0,19,96.55
4,0,19,96.08
4,0,19,96.74
4,0,19,96.47
4,0,19,96.68
4,0,20,96.75
4,0,20,96.6
4,0,20,95.89
4,0,20,95.97
4,0,20,96.29
4,0,20,96.67
4,0,20,96.47
4,0,20,96.89
4,0,20,96.65
4,0,20,96.72
5,0,1,96.48
5,0,1,97.02
5,0,1,97.51
5,0,1,96.78
5,0,1,96.93
5,0,1,97.03
5,0,1,97.24
5,0,1,97.17
5,0,1,96.82
5,0,1,97.47
5,0,2,98.15
5,0,2,97.03
5,0,2,97.34
5,0,2,97.81
5,0,2,96.96
5,0,2,97.06
5,0,2,97.06
5,0,2,97.57
5,0,2,97.75
5,0,2,98.07
5,0,3,98.05
5,0,3,97.72
5,0,3,97.45
5,0,3,97.25
5,0,3,97.9
5,0,3,93.77
5,0,3,97.99
5,0,3,97.61
5,0,3,97.64
5,0,3,97.43
5,0,4,97.92
5,0,4,97.54
5,0,4,96.74
5,0,4,97.49
5,0,4,97.11
5,0,4,97.49
5,0,4,97.22
5,0,4,97.19
5,0,4,97.32
5,0,4,97.02
5,0,5,97.09
5,0,5,97.26
5,0,5,97.14
5,0,5,97.68
5,0,5,97.49
5,0,5,97.41
5,0,5,98.14
5,0,5,97.71
5,0,5,97.13
5,0,5,97.85
5,0,6,97.37
5,0,6,97.59
5,0,6,97.37
5,0,6,97.77
5,0,6,97.14
5,0,6,97.37
5,0,6,97.07
5,0,6,97.37
5,0,6,97.53
5,0,6,97.4
5,0,7,97.06
5,0,7,97.56
5,0,7,97.73
5,0,7,97.57
5,0,7,97.63
5,0,7,96.9
5,0,7,97.38
5,0,7,97.45
5,0,7,97.59
5,0,7,97.49
5,0,8,96.99
5,0,8,97.51
5,0,8,97.6
5,0,8,97.68
5,0,8,97.64
5,0,8,97.24
5,0,8,97.2
5,0,8,97.27
5,0,8,97.64
5,0,8,97.5
5,0,9,97.69
5,0,9,97.14
5,0,9,97.18
5,0,9,97.89
5,0,9,97.41
5,0,9,97.61
5,0,9,97.32
5,0,9,97.76
5,0,9,97.51
5,0,9,97.87
5,0,10,96.89
5,0,10,97.23
5,0,10,97.58
5,0,10,97.94
5,0,10,97.25
5,0,10,96.97
5,0,10,97.85
5,0,10,97.47
5,0,10,97.75
5,0,10,97.21
5,0,11,97.61
5,0,11,97.26
5,0,11,96.81
5,0,11,97.26
5,0,11,97.26
5,0,11,97.36
5,0,11,97.74
5,0,11,96.93
5,0,11,98.0
5,0,11,97.34
5,0,12,97.38
5,0,12,96.88
5,0,12,97.2
5,0,12,97.81
5,0,12,97.39
5,0,12,97.31
5,0,12,97.04
5,0,12,97.54
5,0,12,97.36
5,0,12,97.51
5,0,13,97.61
5,0,13,97.29
5,0,13,96.86
5,0,13,97.06
5,0,13,97.22
5,0,13,96.88
5,0,13,97.19
5,0,13,97.03
5,0,13,97.18
5,0,13,97.19
5,0,14,97.17
5,0,14,96.46
5,0,14,96.61
5,0,14,97.22
5,0,14,96.68
5,0,14,97.21
5,0,14,96.83
5,0,14,97.24
5,0,14,97.01
5,0,14,97.16
5,0,15,97.15
5,0,15,97.0
5,0,15,97.14
5,0,15,96.78
5,0,15,96.96
5,0,15,96.64
5,0,15,97.1
5,0,15,97.03
5,0,15,96.86
5,0,15,96.74
5,0,16,96.91
5,0,16,96.99
5,0,16,96.86
5,0,16,96.53
5,0,16,97.15
5,0,16,97.21
5,0,16,97.01
5,0,16,96.7
5,0,16,96.54
5,0,16,96.78
5,0,17,97.1
5,0,17,97.26
5,0,17,96.62
5,0,17,96.48
5,0,17,97.1
5,0,17,96.59
5,0,17,96.48
5,0,17,96.28
5,0,17,96.73
5,0,17,96.32
5,0,18,97.06
5,0,18,96.66
5,0,18,96.28
5,0,18,96.47
5,0,18,96.98
5,0,18,96.69
5,0,18,96.82
5,0,18,96.68
5,0,18,97.09
5,0,18,96.84
5,0,19,97.24
5,0,19,96.48
5,0,19,97.14
5,0,19,96.5
5,0,19,96.94
5,0,19,96.5
5,0,19,96.57
5,0,19,96.48
5,0,19,96.45
5,0,19,96.89
5,0,20,96.54
5,0,20,96.98
5,0,20,96.08
5,0,20,96.88
5,0,20,96.73
5,0,20,96.78
5,0,20,96.43
5,0,20,96.58
5,0,20,96.75
5,0,20,96.59
6,0,1,96.97
6,0,1,97.28
6,0,1,97.74
6,0,1,97.97
6,0,1,96.99
6,0,1,96.88
6,0,1,97.82
6,0,1,97.47
6,0,1,97.66
6,0,1,97.65
6,0,2,97.58
6,0,2,97.78
6,0,2,97.19
6,0,2,97.77
6,0,2,97.3
6,0,2,97.69
6,0,2,97.42
6,0,2,97.17
6,0,2,97.47
6,0,2,97.63
6,0,3,97.35
6,0,3,97.3
6,0,3,97.51
6,0,3,92.61
6,0,3,96.92
6,0,3,90.24
6,0,3,91.19
6,0,3,96.62
6,0,3,92.69
6,0,3,94.86
6,0,4,97.75
6,0,4,93.13
6,0,4,94.98
6,0,4,97.06
6,0,4,94.23
6,0,4,94.26
6,0,4,96.92
6,0,4,92.35
6,0,4,95.3
6,0,4,97.66
6,0,5,89.69
6,0,5,97.43
6,0,5,97.55
6,0,5,94.06
6,0,5,97.16
6,0,5,97.14
6,0,5,93.88
6,0,5,97.41
6,0,5,97.51
6,0,5,97.32
6,0,6,97.58
6,0,6,97.3
6,0,6,97.08
6,0,6,97.65
6,0,6,97.07
6,0,6,97.27
6,0,6,97.23
6,0,6,97.58
6,0,6,97.49
6,0,6,97.2
6,0,7,97.69
6,0,7,97.94
6,0,7,96.96
6,0,7,97.75
6,0,7,97.15
6,0,7,97.25
6,0,7,97.43
6,0,7,96.84
6,0,7,97.2
6,0,7,97.64
6,0,8,97.59
6,0,8,97.24
6,0,8,97.38
6,0,8,96.97
6,0,8,97.81
6,0,8,97.35
6,0,8,97.41
6,0,8,97.31
6,0,8,97.63
6,0,8,96.89
6,0,9,97.12
6,0,9,97.44
6,0,9,97.07
6,0,9,97.52
6,0,9,97.96
6,0,9,97.18
6,0,9,97.25
6,0,9,97.57
6,0,9,97.44
6,0,9,97.52
6,0,10,97.48
6,0,10,97.41
6,0,10,96.96
6,0,10,96.96
6,0,10,97.17
6,0,10,97.49
6,0,10,97.43
6,0,10,97.2
6,0,10,97.64
6,0,10,97.4
6,0,11,96.93
6,0,11,97.12
6,0,11,97.67
6,0,11,97.28
6,0,11,97.1
6,0,11,97.18
6,0,11,97.59
6,0,11,97.22
6,0,11,97.51
6,0,11,97.66
6,0,12,97.52
6,0,12,97.02
6,0,12,97.45
6,0,12,97.12
6,0,12,97.08
6,0,12,97.12
6,0,12,97.36
6,0,12,96.94
6,0,12,97.09
6,0,12,97.18
6,0,13,96.35
6,0,13,97.46
6,0,13,96.87
6,0,13,97.33
6,0,13,97.01
6,0,13,97.34
6,0,13,97.23
6,0,13,97.48
6,0,13,97.44
6,0,13,96.51
6,0,14,96.39
6,0,14,97.64
6,0,14,96.68
6,0,14,97.09
6,0,14,96.45
6,0,14,97.12
6,0,14,96.84
6,0,14,97.5
6,0,14,96.82
6,0,14,97.55
6,0,15,96.82
6,0,15,96.92
6,0,15,97.08
6,0,15,96.22
6,0,15,96.43
6,0,15,97.11
6,0,15,97.01
6,0,15,97.45
6,0,15,97.09
6,0,15,96.68
6,0,16,96.62
6,0,16,96.88
6,0,16,96.89
6,0,16,97.0
6,0,16,96.9
6,0,16,96.69
6,0,16,97.17
6,0,16,96.84
6,0,16,97.05
6,0,16,96.95
6,0,17,96.36
6,0,17,96.8
6,0,17,96.67
6,0,17,96.6
6,0,17,96.8
6,0,17,96.88
6,0,17,96.84
6,0,17,96.48
6,0,17,96.62
6,0,17,97.02
6,0,18,96.7
6,0,18,96.62
6,0,18,96.76
6,0,18,96.75
6,0,18,96.92
6,0,18,96.73
6,0,18,96.8
6,0,18,96.55
6,0,18,96.87
6,0,18,96.65
6,0,19,96.38
6,0,19,96.17
6,0,19,96.33
6,0,19,96.5
6,0,19,96.32
6,0,19,96.75
6,0,19,96.71
6,0,19,96.68
6,0,19,96.2
6,0,19,96.0
6,0,20,96.37
6,0,20,95.88
6,0,20,96.1
6,0,20,95.81
6,0,20,96.48
6,0,20,96.69
6,0,20,96.82
6,0,20,96.58
6,0,20,96.19
6,0,20,96.36
7,0,1,96.99
7,0,1,97.57
7,0,1,97.57
7,0,1,97.72
7,0,1,98.08
7,0,1,97.79
7,0,1,97.82
7,0,1,97.36
7,0,1,97.38
7,0,1,97.24
7,0,2,96.86
7,0,2,97.5
7,0,2,97.21
7,0,2,97.46
7,0,2,97.39
7,0,2,97.87
7,0,2,97.65
7,0,2,97.58
7,0,2,97.88
7,0,2,97.51
7,0,3,97.53
7,0,3,97.94
7,0,3,96.84
7,0,3,97.57
7,0,3,96.84
7,0,3,98.15
7,0,3,97.5
7,0,3,97.34
7,0,3,98.0
7,0,3,97.38
7,0,4,97.68
7,0,4,97.44
7,0,4,97.18
7,0,4,97.4
7,0,4,97.01
7,0,4,97.6
7,0,4,97.61
7,0,4,96.86
7,0,4,97.46
7,0,4,97.66
7,0,5,97.5
7,0,5,97.75
7,0,5,96.87
7,0,5,97.31
7,0,5,97.19
7,0,5,97.43
7,0,5,97.47
7,0,5,97.61
7,0,5,97.65
7,0,5,97.47
7,0,6,97.12
7,0,6,97.61
7,0,6,97.31
7,0,6,97.24
7,0,6,97.51
7,0,6,96.62
7,0,6,98.11
7,0,6,97.11
7,0,6,97.29
7,0,6,97.44
7,0,7,97.43
7,0,7,97.53
7,0,7,97.43
7,0,7,97.17
7,0,7,97.77
7,0,7,97.39
7,0,7,97.27
7,0,7,97.1
7,0,7,97.75
7,0,7,97.51
7,0,8,97.18
7,0,8,97.41
7,0,8,97.46
7,0,8,97.27
7,0,8,97.12
7,0,8,97.37
7,0,8,97.34
7,0,8,97.56
7,0,8,97.15
7,0,8,97.57
7,0,9,97.06
7,0,9,97.4
7,0,9,97.37
7,0,9,97.52
7,0,9,97.02
7,0,9,97.49
7,0,9,97.09
7,0,9,97.13
7,0,9,97.0
7,0,9,97.28
7,0,10,97.54
7,0,10,97.82
7,0,10,97.63
7,0,10,96.51
7,0,10,97.37
7,0,10,97.34
7,0,10,97.46
7,0,10,97.34
7,0,10,97.67
7,0,10,97.72
7,0,11,97.36
7,0,11,97.52
7,0,11,97.69
7,0,11,95.96
7,0,11,97.31
7,0,11,96.85
7,0,11,97.1
7,0,11,97.23
7,0,11,97.4
7,0,11,97.02
7,0,12,96.93
7,0,12,96.75
7,0,12,97.48
7,0,12,96.95
7,0,12,96.75
7,0,12,96.75
7,0,12,96.75
7,0,12,97.26
7,0,12,97.13
7,0,12,97.17
7,0,13,97.11
7,0,13,97.26
7,0,13,96.61
7,0,13,97.21
7,0,13,97.4
7,0,13,96.73
7,0,13,97.01
7,0,13,97.15
7,0,13,97.42
7,0,13,97.08
7,0,14,96.69
7,0,14,97.1
7,0,14,97.17
7,0,14,97.05
7,0,14,97.09
7,0,14,97.09
7,0,14,96.75
7,0,14,97.04
7,0,14,97.08
7,0,14,97.17
7,0,15,96.92
7,0,15,96.68
7,0,15,96.96
7,0,15,96.98
7,0,15,97.02
7,0,15,96.3
7,0,15,96.95
7,0,15,97.17
7,0,15,96.92
7,0,15,97.07
7,0,16,96.36
7,0,16,95.37
7,0,16,96.87
7,0,16,96.84
7,0,16,96.4
7,0,16,97.06
7,0,16,96.53
7,0,16,96.72
7,0,16,96.82
7,0,16,96.69
7,0,17,97.41
7,0,17,96.96
7,0,17,96.61
7,0,17,96.28
7,0,17,96.14
7,0,17,96.68
7,0,17,96.81
7,0,17,96.57
7,0,17,96.8
7,0,17,96.36
7,0,18,96.67
7,0,18,96.59
7,0,18,96.12
7,0,18,96.31
7,0,18,96.68
7,0,18,96.61
7,0,18,96.21
7,0,18,96.72
7,0,18,96.47
7,0,18,96.67
7,0,19,96.58
7,0,19,96.62
7,0,19,96.7
7,0,19,96.53
7,0,19,96.58
7,0,19,96.38
7,0,19,96.86
7,0,19,96.55
7,0,19,96.05
7,0,19,96.54
7,0,20,96.72
7,0,20,96.28
7,0,20,95.95
7,0,20,96.73
7,0,20,96.33
7,0,20,96.08
7,0,20,96.27
7,0,20,96.64
7,0,20,96.35
7,0,20,96.22
8,0,1,97.68
8,0,1,96.98
8,0,1,95.94
8,0,1,97.58
8,0,1,96.71
8,0,1,96.86
8,0,1,96.82
8,0,1,96.74
8,0,1,97.1
8,0,1,97.14
8,0,2,96.54
8,0,2,97.46
8,0,2,97.7
8,0,2,96.76
8,0,2,96.91
8,0,2,97.08
8,0,2,96.45
8,0,2,96.87
8,0,2,97.43
8,0,2,97.68
8,0,3,97.49
8,0,3,97.62
10,0,1,95.18
