base_delay,control_interval,result
1,1,96.27
1,2,97.01
1,3,97.14
1,4,96.95
1,5,96.67
1,6,96.57
1,7,97.22
1,8,95.8
1,9,96.3
1,10,97.12
1,11,95.99
1,12,96.25
1,13,96.5
1,14,96.36
1,15,96.67
1,16,96.16
1,17,96.86
1,18,95.87
1,19,95.02
1,20,96.13
1,21,95.63
1,22,95.88
1,23,95.99
1,24,95.79
1,25,95.36
1,26,96.18
1,27,95.54
1,28,95.91
1,29,94.83
1,30,94.66
1,31,94.94
1,32,94.97
1,33,95.36
1,34,95.22
1,35,94.85
1,36,95.3
1,37,95.28
1,38,94.52
1,39,94.62
1,40,94.32
1,41,94.71
1,42,94.49
1,43,94.67
1,44,94.15
1,45,94.84
1,46,94.26
1,47,93.59
1,48,94.26
1,49,94.3
1,50,94.24
1,51,93.4
1,52,94.07
1,53,94.4
1,54,93.59
1,55,93.91
1,56,93.87
1,57,91.89
1,58,93.64
1,59,92.55
1,60,94.12
1,61,94.58
1,62,93.41
1,63,93.53999999999999
1,64,94.53
1,65,93.12
1,66,93.78
1,67,93.33
1,68,93.98
1,69,94.02
1,70,93.79
1,71,92.91
1,72,92.43
1,73,92.77
1,74,93.51
1,75,93.64
1,76,93.59
1,77,92.21
1,78,93.35
1,79,93.16
1,80,94.36
1,81,93.08
1,82,92.07
1,83,93.06
1,84,94.05
1,85,93.15
1,86,92.91
1,87,92.92
1,88,93.82
1,89,92.6
1,90,92.49
1,91,92.28
1,92,91.44
1,93,90.85
1,94,93.95
1,95,93.41
1,96,93.03
1,97,91.35
1,98,90.64
1,99,91.99
1,100,92.6
2,1,97.25
2,2,96.5
2,3,96.75
2,4,96.7
2,5,96.91
2,6,96.2
2,7,97.18
2,8,96.45
2,9,95.13
2,10,96.09
2,11,95.94
2,12,96.32
2,13,96.51
2,14,95.68
2,15,96.51
2,16,95.53
2,17,95.76
2,18,96.12
2,19,96.01
2,20,95.64
2,21,96.18
2,22,96.21
2,23,96.12
2,24,96.04
2,25,94.85
2,26,95.67
2,27,95.13
2,28,95.68
2,29,95.08
2,30,94.48
2,31,94.98
2,32,95.64
2,33,94.72
2,34,94.49
2,35,94.85
2,36,94.83
2,37,94.91
2,38,94.51
2,39,94.28
2,40,93.63
2,41,93.22
2,42,92.92
2,43,93.86
2,44,93.89
2,45,94.55
2,46,93.33
2,47,93.71
2,48,93.71
2,49,92.97
2,50,94.07
2,51,93.37
2,52,93.59
2,53,94.2
2,54,93.0
2,55,92.85
2,56,93.21
2,57,92.62
2,58,92.65
2,59,92.31
2,60,93.25
2,61,92.85
2,62,92.13
2,63,93.05
2,64,92.77
2,65,92.37
2,66,93.17
2,67,91.84
2,68,93.01
2,69,93.18
2,70,93.15
2,71,92.87
2,72,92.33
2,73,92.72
2,74,92.55
2,75,90.55
2,76,92.09
2,77,92.6
2,78,92.19
2,79,93.97
2,80,93.85
2,81,93.91
2,82,92.3
2,83,92.85
2,84,92.36
2,85,91.92
2,86,91.75
2,87,91.48
2,88,91.5
2,89,93.03
2,90,92.73
2,91,93.92
2,92,92.02
2,93,92.1
2,94,93.43
2,95,90.77
2,96,91.02
2,97,92.12
2,98,90.95
2,99,90.67
2,100,94.26
3,1,96.71
3,2,96.01
3,3,96.59
3,4,96.68
3,5,95.76
3,6,96.59
3,7,96.9
3,8,96.44
3,9,95.88
3,10,96.24
3,11,96.03
3,12,94.99
3,13,95.89
3,14,95.37
3,15,96.0
3,16,96.51
3,17,95.65
3,18,95.68
3,19,95.92
3,20,95.57
3,21,95.31
3,22,94.75
3,23,95.28
3,24,94.99
3,25,94.71
3,26,95.06
3,27,94.62
3,28,95.02
3,29,95.12
3,30,94.94
3,31,94.62
3,32,94.31
3,33,94.68
3,34,95.06
3,35,94.54
3,36,95.01
3,37,94.46
3,38,94.7
3,39,94.67
3,40,93.93
3,41,94.57
3,42,93.97
3,43,94.27
3,44,94.18
3,45,93.91
3,46,94.16
3,47,92.76
3,48,93.28
3,49,93.89
3,50,93.88
3,51,94.01
3,52,93.06
3,53,92.71
3,54,92.35
3,55,93.12
3,56,93.78
3,57,93.5
3,58,93.1
3,59,93.45
3,60,93.55
3,61,92.35
3,62,93.09
3,63,92.27
3,64,91.9
3,65,93.28
3,66,93.71
3,67,92.85
3,68,92.11
3,69,92.06
3,70,92.81
3,71,92.17
3,72,93.4
3,73,92.7
3,74,93.18
3,75,92.12
3,76,92.77
3,77,91.41
3,78,92.15
3,79,92.97
3,80,90.77
3,81,91.13
3,82,91.95
3,83,91.23
3,84,92.55
3,85,92.61
3,86,91.09
3,87,91.97
3,88,93.2
3,89,94.21
3,90,90.14
3,91,93.14
3,92,91.93
3,93,90.22
3,94,89.94
3,95,92.45
3,96,90.78
3,97,91.86
3,98,89.59
3,99,91.78
3,100,91.67
4,1,95.22
4,2,96.75
4,3,95.6
4,4,96.47
4,5,96.34
4,6,95.39
4,7,95.71
4,8,95.79
4,9,95.66
4,10,95.72
4,11,95.92
4,12,96.1
4,13,96.06
4,14,95.6
4,15,95.06
4,16,95.78
4,17,95.42
4,18,95.95
4,19,94.59
4,20,95.2
4,21,94.55
4,22,95.67
4,23,94.96
4,24,94.69
4,25,95.55
4,26,95.11
4,27,95.21
4,28,95.15
4,29,95.08
4,30,94.79
4,31,94.17
4,32,94.1
4,33,94.19
4,34,93.62
4,35,93.97
4,36,93.98
4,37,93.93
4,38,94.01
4,39,93.74
4,40,94.22
4,41,93.44
4,42,93.4
4,43,94.19
4,44,93.58
4,45,93.35
4,46,92.97
4,47,92.88
4,48,93.08
4,49,93.57
4,50,93.64
4,51,92.72
4,52,92.3
4,53,93.28999999999999
4,54,93.14
4,55,92.41
4,56,92.54
4,57,91.95
4,58,92.62
4,59,92.61
4,60,92.6
4,61,92.69
4,62,92.72
4,63,91.9
4,64,92.3
4,65,92.07
4,66,91.8
4,67,92.22
4,68,91.57
4,69,91.74
4,70,92.43
4,71,91.6
4,72,92.41
4,73,91.95
4,74,91.8
4,75,91.6
4,76,91.41
4,77,91.97
4,78,90.92
4,79,91.41
4,80,90.51
4,81,90.44
4,82,91.54
4,83,91.96000000000001
4,84,91.25
4,85,90.97
4,86,90.84
4,87,91.34
4,88,89.99
4,89,91.67
4,90,90.55
4,91,91.32
4,92,91.94
4,93,92.18
4,94,91.7
4,95,92.5
4,96,91.24
4,97,89.61
4,98,90.83
4,99,89.77
4,100,91.21
5,1,95.97
5,2,96.26
5,3,95.56
5,4,96.67
5,5,95.44
5,6,95.73
5,7,95.57
5,8,94.92
5,9,94.94
5,10,95.45
5,11,94.61
5,12,94.75
5,13,95.62
5,14,95.61
5,15,95.36
5,16,95.19
5,17,95.4
5,18,94.84
5,19,94.64
5,20,94.83
5,21,95.36
5,22,95.66
5,23,95.25
5,24,95.06
5,25,95.05
5,26,94.76
5,27,94.94
5,28,94.54
5,29,94.96
5,30,94.46
5,31,95.12
5,32,94.18
5,33,94.5
5,34,93.33
5,35,94.06
5,36,93.83
5,37,93.77
5,38,94.13
5,39,94.66
5,40,93.75
5,41,92.66
5,42,92.94
5,43,91.93
5,44,93.07
5,45,93.49
5,46,93.36
5,47,92.77
5,48,93.13
5,49,92.87
5,50,93.0
5,51,92.59
5,52,92.97
5,53,92.03999999999999
5,54,92.61
5,55,92.36
5,56,92.88
5,57,91.98
5,58,92.14
5,59,91.87
5,60,91.92
5,61,91.77
5,62,92.37
5,63,92.01
5,64,91.92
5,65,91.96000000000001
5,66,91.66
5,67,91.15
5,68,91.78999999999999
5,69,93.05
5,70,91.36
5,71,91.03
5,72,91.5
5,73,91.29
5,74,90.78999999999999
5,75,91.63
5,76,91.47
5,77,91.89
5,78,91.54
5,79,91.04
5,80,89.76
5,81,90.78999999999999
5,82,90.47
5,83,90.56
5,84,90.51
5,85,90.25
5,86,89.93
5,87,91.42
5,88,91.31
5,89,90.81
5,90,89.53
5,91,91.33
5,92,89.5
5,93,88.54
5,94,90.73
5,95,88.65
5,96,88.89
5,97,89.18
5,98,87.93
5,99,90.08
5,100,88.61
6,1,96.4
6,2,95.93
6,3,95.48
6,4,96.46
6,5,95.24
6,6,95.34
6,7,94.94
6,8,95.75
6,9,94.89
6,10,95.41
6,11,96.3
6,12,95.17
6,13,94.94
6,14,95.91
6,15,95.67
6,16,95.22
6,17,95.23
6,18,94.37
6,19,95.28
6,20,94.66
6,21,94.87
6,22,94.96
6,23,94.67
6,24,93.8
6,25,94.77
6,26,93.87
6,27,93.97
6,28,95.0
6,29,94.75
6,30,94.02
6,31,93.75
6,32,94.21
6,33,94.32
6,34,94.34
6,35,93.45
6,36,93.58
6,37,93.5
6,38,94.07
6,39,93.65
6,40,93.86
6,41,93.64
6,42,92.83
6,43,93.45
6,44,93.03
6,45,93.27
6,46,92.66
6,47,92.67
6,48,92.55
6,49,93.47
6,50,92.77
6,51,90.33
6,52,92.33
6,53,91.44
6,54,92.25
6,55,91.46
6,56,91.71
6,57,92.29
6,58,91.92
6,59,91.53
6,60,91.77
6,61,90.89
6,62,91.4
6,63,91.01
6,64,91.33
6,65,91.07
6,66,91.25
6,67,91.04
6,68,91.84
6,69,91.47
6,70,91.84
6,71,91.25
6,72,91.0
6,73,91.19
6,74,90.68
6,75,91.33
6,76,91.16
6,77,90.99
6,78,91.2
6,79,90.33
6,80,91.44
6,81,90.6
6,82,89.71
6,83,89.62
6,84,90.61
6,85,91.32
6,86,89.59
6,87,89.31
6,88,88.96000000000001
6,89,88.71000000000001
6,90,89.81
6,91,89.35
6,92,89.38
6,93,89.16
6,94,89.57
6,95,89.89
6,96,89.43
6,97,88.33
6,98,89.13
6,99,89.3
6,100,90.03
7,1,95.82
7,2,94.92
7,3,95.99
7,4,95.83
7,5,93.86
7,6,95.82
7,7,94.21
7,8,95.0
7,9,94.64
7,10,95.35
7,11,96.26
7,12,95.37
7,13,94.38
7,14,94.4
7,15,95.11
7,16,95.42
7,17,95.09
7,18,95.0
7,19,94.56
7,20,94.23
7,21,94.27
7,22,94.5
7,23,94.94
7,24,95.1
7,25,93.67
7,26,94.68
7,27,94.71
7,28,94.11
7,29,94.19
7,30,93.83
7,31,93.68
7,32,94.03
7,33,93.34
7,34,93.39
7,35,93.43
7,36,94.56
7,37,93.37
7,38,93.03
7,39,93.55
7,40,93.07
7,41,93.43
7,42,92.85
7,43,92.76
7,44,92.84
7,45,93.12
7,46,92.44
7,47,93.18
7,48,92.5
7,49,92.21
7,50,92.83
7,51,92.23
7,52,92.58
7,53,92.07
7,54,92.28
7,55,91.86
7,56,92.2
7,57,90.81
7,58,91.4
7,59,91.33
7,60,91.61
7,61,91.8
7,62,91.27
7,63,90.93
7,64,91.02
7,65,90.83
7,66,91.26
7,67,91.08
7,68,90.67
7,69,90.82
7,70,90.3
7,71,90.78
7,72,90.51
7,73,91.03
7,74,90.88
7,75,90.15
7,76,89.87
7,77,90.01
7,78,90.47
7,79,90.38
7,80,90.46000000000001
7,81,89.49
7,82,90.12
7,83,89.24
7,84,90.98
7,85,90.04
7,86,89.91
7,87,89.79
7,88,89.77
7,89,89.25
7,90,90.39
7,91,89.28
7,92,89.86
7,93,88.56
7,94,88.38
7,95,88.43
7,96,88.78999999999999
7,97,89.3
7,98,91.66
7,99,88.93
7,100,91.39
8,1,95.46
8,2,95.53
8,3,95.24
8,4,95.34
8,5,95.13
8,6,94.13
8,7,95.09
8,8,95.02
8,9,94.28
8,10,95.14
8,11,95.34
8,12,95.13
8,13,95.21
8,14,95.31
8,15,94.93
8,16,94.85
8,17,93.97
8,18,94.6
8,19,93.79
8,20,94.93
8,21,94.49
8,22,94.59
8,23,95.06
8,24,94.07
8,25,94.39
8,26,94.33
8,27,93.72
8,28,93.89
8,29,94.23
8,30,93.97
8,31,94.42
8,32,93.83
8,33,93.73
8,34,93.45
8,35,93.81
8,36,93.7
8,37,93.69
8,38,93.49
8,39,92.74
8,40,93.4
8,41,93.75
8,42,93.06
8,43,93.01
8,44,92.85
8,45,91.34
8,46,92.17
8,47,92.45
8,48,92.33
8,49,91.73
8,50,92.16
8,51,92.2
8,52,92.0
8,53,92.37
8,54,91.61
8,55,91.05
8,56,91.67
8,57,91.61
8,58,91.63
8,59,91.25
8,60,91.37
8,61,91.07
8,62,90.85
8,63,90.94
8,64,91.05
8,65,90.23
8,66,91.1
8,67,90.9
8,68,91.24
8,69,90.85
8,70,89.54
8,71,89.7
8,72,90.77
8,73,90.21
8,74,90.67
8,75,90.3
8,76,89.64
8,77,90.45
8,78,90.07
8,79,89.85
8,80,89.45
8,81,88.95
8,82,89.73
8,83,90.19
8,84,90.36
8,85,90.68
8,86,89.2
8,87,88.9
8,88,88.47
8,89,89.1
8,90,88.26
8,91,89.32
8,92,88.04
8,93,88.48
8,94,88.94
8,95,88.51
8,96,89.81
8,97,88.42
8,98,88.51
8,99,88.12
8,100,88.73
9,1,94.34
9,2,95.18
9,3,93.86
9,4,95.16
9,5,95.47
9,6,94.4
9,7,94.67
9,8,94.4
9,9,95.13
9,10,94.54
9,11,94.61
9,12,94.31
9,13,94.19
9,14,93.71
9,15,94.16
9,16,95.0
9,17,94.38
9,18,94.41
9,19,94.73
9,20,93.37
9,21,93.89
9,22,93.94
9,23,94.96
9,24,94.61
9,25,94.41
9,26,94.23
9,27,94.43
9,28,94.56
9,29,92.78
9,30,93.9
9,31,93.87
9,32,93.59
9,33,92.95
9,34,93.35
9,35,93.97
9,36,93.31
9,37,93.77
9,38,93.19
9,39,93.06
9,40,93.13
9,41,93.39
9,42,92.69
9,43,92.74
9,44,92.24
9,45,92.4
9,46,92.48
9,47,93.32
9,48,92.17
9,49,92.64
9,50,91.46
9,51,91.84
9,52,91.71
9,53,92.28
9,54,91.28
9,55,91.03
9,56,91.09
9,57,91.28
9,58,90.63
9,59,91.21
9,60,91.15
9,61,90.58
9,62,90.88
9,63,91.09
9,64,90.11
9,65,90.46000000000001
9,66,90.97
9,67,90.94
9,68,90.41
9,69,90.06
9,70,89.88
9,71,90.52
9,72,90.25
9,73,89.89
9,74,89.77
9,75,90.08
9,76,90.57
9,77,89.94
9,78,89.74
9,79,89.54
9,80,90.07
9,81,89.46000000000001
9,82,90.68
9,83,90.18
9,84,90.28
9,85,89.1
9,86,89.54
9,87,89.42
9,88,88.93
9,89,89.1
9,90,89.21000000000001
9,91,88.68
9,92,88.66
9,93,88.23
9,94,88.26
9,95,88.63
9,96,88.74
9,97,88.47
9,98,88.64
9,99,87.84
9,100,88.83
10,1,94.83
10,2,95.23
10,3,93.5
10,4,94.47
10,5,94.57
10,6,94.95
10,7,94.1
10,8,94.12
10,9,94.45
10,10,94.0
10,11,94.5
10,12,93.87
10,13,94.35
10,14,93.92
10,15,93.95
10,16,94.48
10,17,93.85
10,18,93.72
10,19,93.36
10,20,92.9
10,21,94.05
10,22,93.15
10,23,93.8
10,24,93.73
10,25,93.99
10,26,94.4
10,27,93.65
10,28,94.16
10,29,93.84
10,30,93.2
10,31,92.94
10,32,93.13
10,33,93.07
10,34,93.8
10,35,92.1
10,36,93.93
10,37,93.55
10,38,92.59
10,39,92.99
10,40,92.1
10,41,92.62
10,42,92.5
10,43,91.61
10,44,92.52
10,45,91.99
10,46,92.37
10,47,92.42
10,48,91.96000000000001
10,49,92.37
10,50,92.15
10,51,91.11
10,52,92.24
10,53,91.58
10,54,91.86
10,55,91.47
10,56,91.64
10,57,91.2
10,58,90.4
10,59,90.66
10,60,90.64
10,61,90.73
10,62,91.07
10,63,90.65
10,64,90.63
10,65,90.41
10,66,90.31
10,67,90.33
10,68,90.21
10,69,90.22
10,70,90.37
10,71,89.96
10,72,90.43
10,73,89.26
10,74,90.04
10,75,89.09
10,76,89.6
10,77,89.56
10,78,89.72
10,79,89.96
10,80,88.82
10,81,89.24
10,82,89.12
10,83,89.83
10,84,88.35
10,85,88.36
10,86,88.74
10,87,88.56
10,88,89.46000000000001
10,89,88.68
10,90,89.13
10,91,89.86
10,92,88.06
10,93,88.81
10,94,88.63
10,95,89.5
10,96,88.42
10,97,87.69
10,98,88.07
10,99,87.61
10,100,89.53
11,1,92.9
11,2,94.34
11,3,94.11
11,4,94.4
11,5,94.6
11,6,93.94
11,7,94.15
11,8,94.32
11,9,93.89
11,10,94.05
11,11,93.82
11,12,94.07
11,13,93.97
11,14,94.12
11,15,93.75
11,16,94.47
11,17,93.94
11,18,93.88
11,19,93.34
11,20,93.91
11,21,94.03
11,22,93.35
11,23,94.27
11,24,94.19
11,25,93.82
11,26,93.13
11,27,94.11
11,28,94.05
11,29,93.64
11,30,92.63
11,31,93.09
11,32,92.69
11,33,93.41
11,34,92.96
11,35,93.46
11,36,93.32
11,37,91.45
11,38,92.97
11,39,92.74
11,40,93.04
11,41,92.64
11,42,93.14
11,43,91.91
11,44,91.47
11,45,91.58
11,46,91.86
11,47,91.6
11,48,91.81
11,49,91.94
11,50,92.23
11,51,91.62
11,52,91.13
11,53,90.74
11,54,91.83
11,55,90.14
11,56,91.55
11,57,90.97
11,58,90.68
11,59,90.72
11,60,90.58
11,61,90.06
11,62,89.88
11,63,89.75
11,64,90.83
11,65,90.08
11,66,90.43
11,67,90.46000000000001
11,68,90.32
11,69,90.87
11,70,89.66
11,71,89.67
11,72,90.34
11,73,89.88
11,74,89.62
11,75,89.94
11,76,89.97
11,77,89.11
11,78,89.02
11,79,88.77
11,80,89.14
11,81,89.68
11,82,89.62
11,83,89.54
11,84,88.2
11,85,88.18
11,86,87.87
11,87,88.69
11,88,88.5
11,89,89.18
11,90,89.19
11,91,88.78
11,92,87.81
11,93,88.58
11,94,88.06
11,95,87.69
11,96,87.56
11,97,87.7
11,98,87.37
11,99,87.97
11,100,87.44
12,1,94.72
12,2,94.35
12,3,94.53
12,4,93.91
12,5,93.55
12,6,93.95
12,7,93.74
12,8,94.27
12,9,93.68
12,10,94.42
12,11,93.57
12,12,94.03
12,13,94.09
12,14,93.87
12,15,94.15
12,16,94.69
12,17,93.63
12,18,93.91
12,19,93.59
12,20,93.76
12,21,92.3
12,22,92.94
12,23,93.51
12,24,92.81
12,25,93.35
12,26,93.69
12,27,94.21
12,28,93.16
12,29,93.96
12,30,93.33
12,31,93.4
12,32,92.03999999999999
12,33,93.69
12,34,92.52
12,35,92.86
12,36,92.18
12,37,93.09
12,38,92.21
12,39,92.76
12,40,92.49
12,41,92.72
12,42,91.69
12,43,91.45
12,44,92.58
12,45,92.35
12,46,91.15
12,47,91.9
12,48,91.93
12,49,91.48
12,50,91.98
12,51,91.33
12,52,91.62
12,53,91.23
12,54,90.96000000000001
12,55,90.49
12,56,90.72
12,57,90.05
12,58,90.48
12,59,90.23
12,60,90.4
12,61,90.63
12,62,89.81
12,63,90.64
12,64,90.46000000000001
12,65,90.23
12,66,90.91
12,67,90.24
12,68,90.3
12,69,90.0
12,70,90.06
12,71,89.58
12,72,89.67
12,73,89.92
12,74,89.52
12,75,89.55
12,76,90.2
12,77,89.25
12,78,90.19
12,79,89.39
12,80,89.3
12,81,89.0
12,82,89.22
12,83,89.63
12,84,88.48
12,85,88.87
12,86,88.46
12,87,88.92
12,88,88.35
12,89,88.2
12,90,88.34
12,91,87.92
12,92,89.11
12,93,87.76
12,94,87.72
12,95,87.35
12,96,87.78999999999999
12,97,87.33
12,98,88.37
12,99,88.07
12,100,89.32
13,1,93.76
13,2,93.52
13,3,94.19
13,4,94.23
13,5,94.26
13,6,93.39
13,7,93.77
13,8,94.2
13,9,93.36
13,10,93.82
13,11,93.53
13,12,92.89
13,13,93.06
13,14,93.41
13,15,92.98
13,16,93.72
13,17,93.4
13,18,93.26
13,19,93.09
13,20,93.24
13,21,92.72
13,22,93.34
13,23,92.98
13,24,93.97
13,25,93.61
13,26,93.45
13,27,93.18
13,28,93.23
13,29,92.42
13,30,93.42
13,31,93.09
13,32,93.34
13,33,92.9
13,34,92.97
13,35,92.81
13,36,92.89
13,37,92.99
13,38,93.28
13,39,92.0
13,40,92.87
13,41,92.35
13,42,92.21
13,43,92.28
13,44,91.51
13,45,91.43
13,46,91.45
13,47,90.63
13,48,91.67
13,49,90.51
13,50,91.45
13,51,91.14
13,52,90.4
13,53,90.47
13,54,90.99
13,55,90.57
13,56,91.13
13,57,90.78999999999999
13,58,89.93
13,59,90.06
13,60,89.61
13,61,90.49
13,62,90.52
13,63,89.98
13,64,90.42
13,65,90.25
13,66,89.71
13,67,90.01
13,68,89.25
13,69,89.65
13,70,89.82
13,71,89.99
13,72,89.64
13,73,88.88
13,74,89.61
13,75,88.86
13,76,88.49
13,77,89.22
13,78,89.63
13,79,88.78999999999999
13,80,88.77
13,81,89.25
13,82,88.85
13,83,88.78
13,84,89.27
13,85,88.18
13,86,87.87
13,87,88.27
13,88,88.05
13,89,87.28
13,90,88.51
13,91,88.46
13,92,88.1
13,93,87.88
13,94,87.14
13,95,87.43
13,96,87.48
13,97,87.72
13,98,87.58
13,99,87.19
13,100,87.53
14,1,93.04
14,2,94.0
14,3,93.51
14,4,93.89
14,5,93.43
14,6,93.81
14,7,92.99
14,8,93.13
14,9,93.62
14,10,93.55
14,11,93.77
14,12,92.98
14,13,93.41
14,14,93.18
14,15,93.67
14,16,92.6
14,17,93.49
14,18,93.32
14,19,93.05
14,20,93.91
14,21,93.83
14,22,93.14
14,23,93.18
14,24,92.72
14,25,93.05
14,26,93.07
14,27,92.31
14,28,93.3
14,29,93.33
14,30,93.46
14,31,93.53999999999999
14,32,93.6
14,33,92.13
