delay_mean,trace_mean,avg_precision
0,10,0.95625
0,10,0.95625
0,10,0.95625
0,10,0.95625
0,10,0.95625
0,11,0.95625
0,11,0.9625
0,11,0.95625
0,11,0.95625
0,11,0.95625
0,12,0.9625
0,12,0.95625
0,12,0.95625
0,12,0.9625
0,12,0.95625
0,13,0.9625
0,13,0.96875
0,13,0.975
0,13,0.9625
0,13,0.96875
0,14,0.96875
0,14,0.96875
0,14,0.975
0,14,0.96875
0,14,0.975
0,15,0.975
0,15,0.96875
0,15,0.96875
0,15,0.975
0,15,0.975
0,16,0.9875
0,16,0.975
0,16,0.96875
0,16,0.975
0,16,0.98125
0,17,0.975
0,17,0.98125
0,17,0.9625
0,17,0.975
0,17,0.96875
0,18,0.95625
0,18,0.975
0,18,0.975
0,18,0.975
0,18,0.975
0,19,0.975
0,19,0.975
0,19,0.98125
0,19,0.975
0,19,0.975
0,20,0.9875
0,20,0.9875
0,20,0.9875
0,20,0.9875
0,20,0.975
10,10,0.95625
10,10,0.95625
10,10,0.95625
10,10,0.95625
10,10,0.95625
10,11,0.95625
10,11,0.95625
10,11,0.95625
10,11,0.95625
10,11,0.95625
10,12,0.9625
10,12,0.9625
10,12,0.9625
10,12,0.9625
10,12,0.9625
10,13,0.9625
10,13,0.9625
10,13,0.9625
10,13,0.96875
10,13,0.975
10,14,0.975
10,14,0.98125
10,14,0.975
10,14,0.95625
10,14,0.9625
10,15,0.98125
10,15,0.96875
10,15,0.98125
10,15,0.98125
10,15,0.98125
10,16,0.975
10,16,0.975
10,16,0.98125
10,16,0.96875
10,16,0.9875
10,17,0.975
10,17,0.98125
10,17,0.9875
10,17,0.975
10,17,0.99375
10,18,0.98125
10,18,0.98125
10,18,0.975
10,18,0.98125
10,18,0.98125
10,19,0.98125
10,19,0.975
10,19,0.98125
10,19,0.98125
10,19,0.98125
10,20,0.98125
10,20,0.98125
10,20,0.98125
10,20,0.98125
10,20,0.9875
20,10,0.95
20,10,0.95
20,10,0.94375
20,10,0.95
20,10,0.95
20,11,0.96875
20,11,0.95625
20,11,0.95625
20,11,0.95625
20,11,0.96875
20,12,0.9625
20,12,0.96875
20,12,0.95
20,12,0.96875
20,12,0.95625
20,13,0.95625
20,13,0.975
20,13,0.9625
20,13,0.9625
20,13,0.975
20,14,0.9625
20,14,0.975
20,14,0.96875
20,14,0.975
20,14,0.96875
20,15,0.95625
20,15,0.9625
20,15,0.98125
20,15,0.975
20,15,0.98125
20,16,0.99375
20,16,0.9875
20,16,0.98125
20,16,0.98125
20,16,0.975
20,17,0.9875
20,17,0.9875
20,17,0.975
20,17,0.98125
20,17,0.9875
20,18,0.99375
20,18,0.9875
20,18,0.98125
20,18,0.98125
20,18,0.98125
20,19,0.9875
20,19,0.9875
20,19,0.9875
20,19,0.9875
20,19,0.9875
20,20,0.9875
20,20,0.9875
20,20,0.9875
20,20,0.98125
20,20,0.98125
30,10,0.95625
30,10,0.9625
30,10,0.95
30,10,0.95
30,10,0.9625
30,11,0.9625
30,11,0.9625
30,11,0.95625
30,11,0.95625
30,11,0.9625
30,12,0.975
30,12,0.95625
30,12,0.9625
30,12,0.975
30,12,0.95625
30,13,0.975
30,13,0.975
30,13,0.9625
30,13,0.98125
30,13,0.95
30,14,0.975
30,14,0.96875
30,14,0.975
30,14,0.9875
30,14,0.98125
30,15,0.9875
30,15,0.98125
30,15,0.9625
30,15,0.975
30,15,0.975
30,16,0.96875
30,16,0.975
30,16,0.975
30,16,0.975
30,16,0.975
30,17,0.98125
30,17,0.98125
30,17,0.96875
30,17,0.98125
30,17,0.99375
30,18,0.9875
30,18,0.98125
30,18,0.9875
30,18,0.98125
30,18,0.98125
30,19,0.98125
30,19,0.98125
30,19,0.98125
30,19,0.9625
30,19,0.96875
30,20,1
30,20,1
30,20,0.99375
30,20,0.99375
30,20,0.9875
40,10,0.9375
40,10,0.94375
40,10,0.95
40,10,0.925
40,10,0.95625
40,11,0.95
40,11,0.9375
40,11,0.95
40,11,0.95625
40,11,0.95
40,12,0.95625
40,12,0.9375
40,12,0.94375
40,12,0.95
40,12,0.94375
40,13,0.95
40,13,0.9375
40,13,0.9625
40,13,0.95625
40,13,0.9625
40,14,0.95625
40,14,0.9625
40,14,0.96875
40,14,0.9625
40,14,0.95625
40,15,0.95
40,15,0.975
40,15,0.96875
40,15,0.9625
40,15,0.96875
40,16,0.9625
40,16,0.96875
40,16,0.98125
40,16,0.96875
40,16,0.98125
40,17,0.975
40,17,0.975
40,17,0.975
40,17,0.975
40,17,0.95625
40,18,0.975
40,18,0.98125
40,18,0.975
40,18,0.96875
40,18,0.975
40,19,0.96875
40,19,0.975
40,19,0.98125
40,19,0.975
40,19,0.975
40,20,0.98125
40,20,0.975
40,20,0.98125
40,20,0.99375
40,20,0.9625
50,10,0.9375
50,10,0.925
50,10,0.94375
50,10,0.94375
50,10,0.9375
50,11,0.925
50,11,0.95
50,11,0.93125
50,11,0.95625
50,11,0.9375
50,12,0.94375
50,12,0.95
50,12,0.94375
50,12,0.95
50,12,0.95
50,13,0.95625
50,13,0.95625
50,13,0.95625
50,13,0.95
50,13,0.95625
50,14,0.94375
50,14,0.95625
50,14,0.96875
50,14,0.95625
50,14,0.9625
50,15,0.95625
50,15,0.9625
50,15,0.95625
50,15,0.9625
50,15,0.95
50,16,0.9625
50,16,0.9625
50,16,0.95625
50,16,0.95
50,16,0.95625
50,17,0.98125
50,17,0.9625
50,17,0.9625
50,17,0.96875
50,17,0.9625
50,18,0.9625
50,18,0.96875
50,18,0.96875
50,18,0.975
50,18,0.95625
50,19,0.96875
50,19,0.95
50,19,0.94375
50,19,0.975
50,19,0.95625
50,20,0.95625
50,20,0.96875
50,20,0.98125
50,20,0.96875
50,20,0.9625
60,10,0.94375
60,10,0.91875
60,10,0.93125
60,10,0.94375
60,10,0.94375
60,11,0.94375
60,11,0.925
60,11,0.9375
60,11,0.93125
60,11,0.94375
60,12,0.9375
60,12,0.94375
60,12,0.94375
60,12,0.94375
60,12,0.94375
60,13,0.95
60,13,0.95625
60,13,0.95
60,13,0.95625
60,13,0.94375
60,14,0.94375
60,14,0.9375
60,14,0.95
60,14,0.9375
60,14,0.95
60,15,0.95
60,15,0.94375
60,15,0.95
60,15,0.93125
60,15,0.95
60,16,0.95625
60,16,0.95
60,16,0.96875
60,16,0.95625
60,16,0.95
60,17,0.9625
60,17,0.9625
60,17,0.95625
60,17,0.95
60,17,0.9625
60,18,0.94375
60,18,0.96875
60,18,0.9625
60,18,0.95
60,18,0.95625
60,19,0.95625
60,19,0.95625
60,19,0.95
60,19,0.95
60,19,0.9625
60,20,0.96875
60,20,0.9625
60,20,0.95625
60,20,0.95625
60,20,0.9625
70,10,0.93125
70,10,0.93125
70,10,0.93125
70,10,0.925
70,10,0.9125
70,11,0.91875
70,11,0.93125
70,11,0.9125
70,11,0.93125
70,11,0.925
70,12,0.9375
70,12,0.93125
70,12,0.925
70,12,0.93125
70,12,0.925
70,13,0.9375
70,13,0.9375
70,13,0.9375
70,13,0.925
70,13,0.94375
70,14,0.94375
70,14,0.94375
70,14,0.94375
70,14,0.9375
70,14,0.9375
70,15,0.94375
70,15,0.95625
70,15,0.94375
70,15,0.9375
70,15,0.93125
70,16,0.93125
70,16,0.95
70,16,0.94375
70,16,0.9375
70,16,0.9375
70,17,0.95
70,17,0.95
70,17,0.9375
70,17,0.95625
70,17,0.9375
70,18,0.94375
70,18,0.94375
70,18,0.95625
70,18,0.94375
70,18,0.94375
70,19,0.95
70,19,0.94375
70,19,0.95625
70,19,0.95625
70,19,0.95625
70,20,0.94375
70,20,0.94375
70,20,0.94375
70,20,0.95
70,20,0.95
80,10,0.91875
80,10,0.9125
80,10,0.9125
80,10,0.91875
80,10,0.925
80,11,0.91875
80,11,0.93125
80,11,0.93125
80,11,0.91875
80,11,0.93125
80,12,0.9
80,12,0.925
80,12,0.91875
80,12,0.9375
80,12,0.925
80,13,0.93125
80,13,0.93125
80,13,0.93125
80,13,0.9375
80,13,0.91875
80,14,0.91875
80,14,0.94375
80,14,0.94375
80,14,0.925
80,14,0.925
80,15,0.93125
80,15,0.9375
80,15,0.9375
80,15,0.925
80,15,0.95625
80,16,0.95
80,16,0.94375
80,16,0.9375
80,16,0.95
80,16,0.94375
80,17,0.9375
80,17,0.95
80,17,0.93125
80,17,0.95
80,17,0.9375
